gene,name
A1BG,alpha-1-B glycoprotein
A1BG-AS1,A1BG antisense RNA 1
A1CF,APOBEC1 complementation factor
A1CF,APOBEC1 complementation factor
A1CF,APOBEC1 complementation factor
A1CF,APOBEC1 complementation factor
A1CF,APOBEC1 complementation factor
A2M,alpha-2-macroglobulin
A2M,alpha-2-macroglobulin
A2M,alpha-2-macroglobulin
A2M-AS1,A2M antisense RNA 1
A2ML1,alpha-2-macroglobulin like 1
A2ML1,alpha-2-macroglobulin like 1
A2ML1-AS1,A2ML1 antisense RNA 1
A2ML1-AS2,A2ML1 antisense RNA 2
A2MP1,alpha-2-macroglobulin pseudogene 1
A3GALT2,"alpha 1,3-galactosyltransferase 2"
A3GALT2,"alpha 1,3-galactosyltransferase 2"
A3GALT2,"alpha 1,3-galactosyltransferase 2"
A3GALT2,"alpha 1,3-galactosyltransferase 2"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase"
A12M1,adenovirus-12 chromosome modification site 1C
A12M2,adenovirus-12 chromosome modification site 1A
A12M3,adenovirus-12 chromosome modification site 1B
A12M4,adenovirus-12 chromosome modification site 17
AAAS,aladin WD repeat nucleoporin
AAAS,aladin WD repeat nucleoporin
AAAS,aladin WD repeat nucleoporin
AABT,"amino acid transport, beta"
AACS,acetoacetyl-CoA synthetase
AACS,acetoacetyl-CoA synthetase
AACS,acetoacetyl-CoA synthetase
AACSP1,acetoacetyl-CoA synthetase pseudogene 1
AADAC,arylacetamide deacetylase
AADAC,arylacetamide deacetylase
AADACL2,arylacetamide deacetylase like 2
AADACL2-AS1,AADACL2 antisense RNA 1
AADACL3,arylacetamide deacetylase like 3
AADACL4,arylacetamide deacetylase like 4
AADACP1,arylacetamide deacetylase pseudogene 1
AADAT,aminoadipate aminotransferase
AADAT,aminoadipate aminotransferase
AADAT,aminoadipate aminotransferase
AADAT,aminoadipate aminotransferase
AADAT,aminoadipate aminotransferase
AADAT,aminoadipate aminotransferase
AAGAB,alpha and gamma adaptin binding protein
AAGAB,alpha and gamma adaptin binding protein
AAK1,AP2 associated kinase 1
AAK1,AP2 associated kinase 1
AAMDC,adipogenesis associated Mth938 domain containing
AAMDC,adipogenesis associated Mth938 domain containing
AAMDC,adipogenesis associated Mth938 domain containing
AAMP,angio associated migratory cell protein
AANAT,aralkylamine N-acetyltransferase
AAR2,AAR2 splicing factor
AARD,alanine and arginine rich domain containing protein
AARS1,alanyl-tRNA synthetase 1
AARS1,alanyl-tRNA synthetase 1
AARS1P1,alanyl-tRNA synthetase 1 pseudogene 1
AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
AARS2,"alanyl-tRNA synthetase 2, mitochondrial"
AARSD1,alanyl-tRNA synthetase domain containing 1
AASDH,aminoadipate-semialdehyde dehydrogenase
AASDH,aminoadipate-semialdehyde dehydrogenase
AASDH,aminoadipate-semialdehyde dehydrogenase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,aminoadipate-semialdehyde synthase
AASS,aminoadipate-semialdehyde synthase
AATBC,apoptosis associated transcript in bladder cancer
AATF,apoptosis antagonizing transcription factor
AATF,apoptosis antagonizing transcription factor
AATF,apoptosis antagonizing transcription factor
AATF,apoptosis antagonizing transcription factor
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AATK,apoptosis associated tyrosine kinase
AAVS1,adeno-associated virus integration site 1
ABALON,apoptotic BCL2L1-antisense long non-coding RNA
ABALON,apoptotic BCL2L1-antisense long non-coding RNA
ABAT,4-aminobutyrate aminotransferase
ABAT,4-aminobutyrate aminotransferase
ABAT,4-aminobutyrate aminotransferase
ABAT,4-aminobutyrate aminotransferase
ABAT,4-aminobutyrate aminotransferase
ABAT,4-aminobutyrate aminotransferase
ABCA1,ATP binding cassette subfamily A member 1
ABCA2,ATP binding cassette subfamily A member 2
ABCA3,ATP binding cassette subfamily A member 3
ABCA3,ATP binding cassette subfamily A member 3
ABCA3,ATP binding cassette subfamily A member 3
ABCA4,ATP binding cassette subfamily A member 4
ABCA4,ATP binding cassette subfamily A member 4
ABCA4,ATP binding cassette subfamily A member 4
ABCA5,ATP binding cassette subfamily A member 5
ABCA6,ATP binding cassette subfamily A member 6
ABCA7,ATP binding cassette subfamily A member 7
ABCA8,ATP binding cassette subfamily A member 8
ABCA9,ATP binding cassette subfamily A member 9
ABCA9-AS1,ABCA9 antisense RNA 1
ABCA10,ATP binding cassette subfamily A member 10
ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene"
ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene"
ABCA12,ATP binding cassette subfamily A member 12
ABCA12,ATP binding cassette subfamily A member 12
ABCA13,ATP binding cassette subfamily A member 13
ABCA13,ATP binding cassette subfamily A member 13
ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene"
ABCB1,ATP binding cassette subfamily B member 1
ABCB1,ATP binding cassette subfamily B member 1
ABCB1,ATP binding cassette subfamily B member 1
ABCB1,ATP binding cassette subfamily B member 1
ABCB4,ATP binding cassette subfamily B member 4
ABCB4,ATP binding cassette subfamily B member 4
ABCB4,ATP binding cassette subfamily B member 4
ABCB5,ATP binding cassette subfamily B member 5
ABCB5,ATP binding cassette subfamily B member 5
ABCB5,ATP binding cassette subfamily B member 5
ABCB5,ATP binding cassette subfamily B member 5
ABCB5,ATP binding cassette subfamily B member 5
ABCB5,ATP binding cassette subfamily B member 5
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7,ATP binding cassette subfamily B member 7
ABCB7,ATP binding cassette subfamily B member 7
ABCB7,ATP binding cassette subfamily B member 7
ABCB8,ATP binding cassette subfamily B member 8
ABCB8,ATP binding cassette subfamily B member 8
ABCB8,ATP binding cassette subfamily B member 8
ABCB9,ATP binding cassette subfamily B member 9
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10,ATP binding cassette subfamily B member 10
ABCB10P1,ABCB10 pseudogene 1
ABCB10P1,ABCB10 pseudogene 1
ABCB10P3,ABCB10 pseudogene 3
ABCB10P4,ABCB10 pseudogene 4
ABCB11,ATP binding cassette subfamily B member 11
ABCB11,ATP binding cassette subfamily B member 11
ABCB11,ATP binding cassette subfamily B member 11
ABCB11,ATP binding cassette subfamily B member 11
ABCC1,ATP binding cassette subfamily C member 1
